8.98,10368
16.81,11232
24.45,12096
32.27,12959
39.97,13823
47.62,14687
55.22,15551
62.86,16415
70.43,17279
77.97,18143
85.43,19007
92.87,19871
100.26,20735
107.59,21599
114.79,22463
121.95,23327
129.16,24191
136.35,25055
143.48,25919
150.52,26783
157.56,27647
164.61,28511
171.64,29375
178.54,30238
185.41,31102
192.21,31966
198.84,32830
205.62,33694
212.30,34558
218.82,35422
225.35,36286
231.89,37150
238.56,38014
245.27,38878
252.00,39742
258.66,40607
265.27,41471
272.16,42335
279.34,43200
286.58,44064
293.93,44928
301.33,45792
309.01,46657
316.38,47521
323.63,48385
330.52,49250
337.68,50114
344.39,50978
350.54,51842
356.67,52707
362.52,53571
368.07,54435
373.54,55299
379.06,56163
384.43,57027
389.72,57891
395.16,58755
400.31,59619
405.30,60483
410.21,61347
415.06,62211
419.84,63075
424.55,63939
429.12,64803
433.60,65667
437.97,66531
442.36,67395
446.57,68259
450.85,69123
455.05,69987
457.81,70851
458.26,71715
458.23,72579
