8.63,5186
18.93,6050
29.06,6915
39.02,7779
49.22,8643
60.47,9507
72.21,10371
83.97,11235
95.52,12099
106.77,12963
117.80,13826
128.60,14690
139.13,15554
149.43,16418
159.47,17282
169.26,18146
178.80,19010
188.23,19874
197.57,20738
206.77,21602
215.91,22466
224.87,23330
233.75,24194
242.57,25058
251.27,25922
259.91,26786
268.48,27650
276.89,28514
285.42,29377
293.91,30241
302.30,31105
310.57,31969
318.71,32833
326.92,33697
335.07,34561
343.26,35425
351.42,36289
359.43,37153
367.46,38017
375.37,38881
383.28,39745
391.15,40609
398.99,41474
406.80,42337
414.58,43201
422.25,44065
429.84,44929
437.40,45793
444.79,46657
452.23,47521
