5.48,5184
17.70,6048
29.50,6912
41.22,7776
53.06,8640
65.00,9504
77.06,10368
89.03,11232
100.84,12095
112.39,12959
123.84,13823
135.25,14687
146.51,15551
157.74,16415
168.92,17279
179.95,18143
190.94,19007
201.81,19871
212.58,20735
223.14,21599
233.64,22463
243.97,23327
254.26,24190
264.42,25054
274.60,25918
284.73,26782
294.72,27646
304.68,28510
314.64,29374
324.47,30238
334.22,31102
343.90,31966
353.52,32830
363.14,33694
373.78,34558
384.93,35422
396.01,36286
406.78,37150
417.23,38013
427.57,38877
437.72,39741
447.79,40605
457.73,41469
467.47,42333
